"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun","richness","shannon","simp.even"
"209","1","LM-10-268","early",2010,10,5,"M","J",533.67,200,99,45,8.43,22.5,18.55078981,2,265,3.96215526113985,0.110326390890972
"210","2","LM-10-304","early",2010,10,6,"F","J",477.35,171,86,37,7.75,21.64,18.01613072,2,253,3.59274207024648,0.0736274668478752
"211","2","LM-10-307","early",2010,10,6,"M","A",539.37,183,90,40,7.42,21.86,16.68613382,2,250,3.76265137324788,0.0957350966914053
"212","2","LM-10-265","early",2010,10,5,"M","A",528.25,165,80,37,7,22.42,15.14434453,2,254,3.67294031341972,0.0835458330626252
"213","1","LM-10-326","early",2010,10,6,"M","J",509.21,188,86,45,8.84,23.94,16.88890635,2,256,3.21408396543743,0.0351976931296607
"214","1","LM-10-295","early",2010,10,6,"F","A",503.5,192,94,43,8.54,22.4,18.6693148,2,258,3.76395677716917,0.0845014050528555
"215","1","LM-10-288","early",2010,10,6,"F","J",458.91,194,97,43,9.37,22.16,21.13704212,2,247,3.08809238383001,0.0389119679933197
"216","2","LM-10-327","early",2010,10,6,"M","J",484.47,205,100,47,9.7,22.93,20.64111297,2,268,3.42210421722839,0.0610238157444347
"217","1","LM-10-012","early",2010,10,1,"F","J",427.98,175,89,37,8.65,21.14,20.79536427,2,279,3.92410338143364,0.102038966186472
"218","1","LM-10-034","early",2010,10,2,"F","J",382.07,189,95,41,10.73,21.69,24.86455362,2,264,3.87836812289465,0.0990766240327486
"219","1","LM-10-038","early",2010,10,2,"M","J",498.06,170,85,37,7.43,21.76,17.06621692,2,235,3.04463460193411,0.0343679343576382
"220","1","LM-10-069","early",2010,10,3,"M","A",520.13,NA,NA,NA,NA,NA,NA,2,273,4.00901978494678,0.120949068580771
"221","1","LM-10-137","early",2010,10,4,"F","J",503.2,177,88,39,7.75,22.03,17.48807631,2,219,2.26776563496592,0.0188140973911661
"222","1","LM-10-141","early",2010,10,4,"M","A",507,175,86,39,7.69,22.29,16.96252465,2,271,3.71259999726223,0.0589751102137993
"223","1","LM-10-061","early",2010,10,2,"F","A",469.42,177,88,39,8.31,22.03,18.74653828,2,272,3.87275859064336,0.107560194711695
"224","1","LM-10-124","early",2010,10,2,"M","A",496,158,80,34,6.85,21.52,16.12903226,2,255,3.89949804886663,0.115910886798271
